supplier_id,month,otif_pct,avg_delay_days,study_code
SPLR-A,2025-06,33.3,3.0,BLZ-137
SPLR-A,2025-07,46.2,2.0153846153846153,BLZ-137
SPLR-A,2025-08,46.3,1.8780487804878048,BLZ-137
SPLR-A,2025-09,50.0,1.5625,BLZ-137
SPLR-A,2025-10,65.0,1.4,BLZ-137
SPLR-B,2025-06,20.0,4.0,BLZ-137
SPLR-B,2025-07,51.3,1.6923076923076923,BLZ-137
SPLR-B,2025-08,47.5,1.7704918032786885,BLZ-137
SPLR-B,2025-09,40.0,2.1454545454545455,BLZ-137
SPLR-B,2025-10,43.8,2.28125,BLZ-137
SPLR-C,2025-06,0.0,4.0,BLZ-137
SPLR-C,2025-07,26.3,2.8421052631578947,BLZ-137
SPLR-C,2025-08,30.0,3.3,BLZ-137
SPLR-C,2025-09,33.3,2.111111111111111,BLZ-137
SPLR-C,2025-10,33.3,2.6666666666666665,BLZ-137
SPLR-D,2025-06,0.0,3.0,BLZ-137
SPLR-D,2025-07,59.1,1.3636363636363635,BLZ-137
SPLR-D,2025-08,52.6,0.6842105263157895,BLZ-137
SPLR-D,2025-09,36.4,2.6363636363636362,BLZ-137
SPLR-D,2025-10,40.0,2.2,BLZ-137
