site_id,event_dt,event_type
SITE-014,2025-04-06,SHORTAGE_START
SITE-014,2025-07-16,SHORTAGE_RESOLVE
SITE-014,2025-07-17,SHORTAGE_START
SITE-014,2025-07-24,SHORTAGE_RESOLVE
SITE-014,2025-08-06,SHORTAGE_START
SITE-014,2025-08-08,SHORTAGE_RESOLVE
SITE-014,2025-09-08,SHORTAGE_START
SITE-014,2025-09-13,SHORTAGE_RESOLVE
SITE-014,2025-10-06,SHORTAGE_START
SITE-014,2025-10-22,SHORTAGE_RESOLVE
SITE-034,2025-04-21,SHORTAGE_START
SITE-034,2025-06-25,SHORTAGE_RESOLVE
SITE-034,2025-05-05,SHORTAGE_START
SITE-034,2025-06-25,SHORTAGE_RESOLVE
SITE-034,2025-06-02,SHORTAGE_START
SITE-034,2025-06-25,SHORTAGE_RESOLVE
SITE-034,2025-07-16,SHORTAGE_START
SITE-034,2025-07-26,SHORTAGE_RESOLVE
SITE-035,2025-05-14,SHORTAGE_START
SITE-035,2025-07-17,SHORTAGE_RESOLVE
SITE-035,2025-06-07,SHORTAGE_START
SITE-035,2025-07-17,SHORTAGE_RESOLVE
SITE-035,2025-07-05,SHORTAGE_START
SITE-035,2025-07-17,SHORTAGE_RESOLVE
SITE-035,2025-08-02,SHORTAGE_START
SITE-035,2025-08-02,SHORTAGE_RESOLVE
SITE-039,2025-06-02,SHORTAGE_START
SITE-039,2025-07-21,SHORTAGE_RESOLVE
