site_id,month,dispenses,shortages,recovery_days,study_code
SITE-001,2025-04,13,0,0,BLZ-137
SITE-001,2025-05,28,0,2,BLZ-137
SITE-001,2025-06,49,0,1,BLZ-137
SITE-001,2025-07,43,0,0,BLZ-137
SITE-001,2025-08,29,0,2,BLZ-137
SITE-001,2025-09,13,0,0,BLZ-137
SITE-001,2025-10,5,0,0,BLZ-137
SITE-002,2025-04,9,0,1,BLZ-137
SITE-002,2025-05,27,0,1,BLZ-137
SITE-002,2025-06,50,0,0,BLZ-137
SITE-002,2025-07,48,0,1,BLZ-137
SITE-002,2025-08,30,0,2,BLZ-137
SITE-002,2025-09,15,0,1,BLZ-137
SITE-002,2025-10,4,0,2,BLZ-137
SITE-003,2025-04,19,0,1,BLZ-137
SITE-003,2025-05,30,0,1,BLZ-137
SITE-003,2025-06,38,0,2,BLZ-137
SITE-003,2025-07,46,0,1,BLZ-137
SITE-003,2025-08,26,0,2,BLZ-137
SITE-003,2025-09,14,0,2,BLZ-137
SITE-003,2025-10,4,0,1,BLZ-137
SITE-004,2025-04,16,0,1,BLZ-137
SITE-004,2025-05,31,0,0,BLZ-137
SITE-004,2025-06,42,0,0,BLZ-137
SITE-004,2025-07,48,0,0,BLZ-137
SITE-004,2025-08,26,0,2,BLZ-137
SITE-004,2025-09,15,0,2,BLZ-137
SITE-004,2025-10,4,0,0,BLZ-137
SITE-005,2025-04,14,0,1,BLZ-137
SITE-005,2025-05,34,0,2,BLZ-137
SITE-005,2025-06,37,0,0,BLZ-137
SITE-005,2025-07,45,0,1,BLZ-137
SITE-005,2025-08,26,0,1,BLZ-137
SITE-005,2025-09,13,0,2,BLZ-137
SITE-005,2025-10,5,0,2,BLZ-137
SITE-006,2025-04,6,0,0,BLZ-137
SITE-006,2025-05,25,0,2,BLZ-137
SITE-006,2025-06,35,0,2,BLZ-137
SITE-006,2025-07,54,0,0,BLZ-137
SITE-006,2025-08,34,0,1,BLZ-137
SITE-006,2025-09,22,0,2,BLZ-137
SITE-006,2025-10,6,0,0,BLZ-137
SITE-007,2025-04,11,0,0,BLZ-137
SITE-007,2025-05,28,0,0,BLZ-137
SITE-007,2025-06,37,0,0,BLZ-137
SITE-007,2025-07,48,0,1,BLZ-137
SITE-007,2025-08,32,0,0,BLZ-137
SITE-007,2025-09,14,0,1,BLZ-137
SITE-007,2025-10,6,0,1,BLZ-137
SITE-008,2025-04,21,0,0,BLZ-137
SITE-008,2025-05,35,0,1,BLZ-137
SITE-008,2025-06,39,0,0,BLZ-137
SITE-008,2025-07,39,0,0,BLZ-137
SITE-008,2025-08,23,0,1,BLZ-137
SITE-008,2025-09,11,0,0,BLZ-137
SITE-008,2025-10,4,0,2,BLZ-137
SITE-009,2025-04,14,0,0,BLZ-137
SITE-009,2025-05,45,0,2,BLZ-137
SITE-009,2025-06,40,0,0,BLZ-137
SITE-009,2025-07,41,0,1,BLZ-137
SITE-009,2025-08,25,0,1,BLZ-137
SITE-009,2025-09,10,0,1,BLZ-137
SITE-009,2025-10,3,0,1,BLZ-137
SITE-010,2025-04,9,0,3,BLZ-137
SITE-010,2025-05,14,0,1,BLZ-137
SITE-010,2025-06,35,0,0,BLZ-137
SITE-010,2025-07,45,0,0,BLZ-137
SITE-010,2025-08,41,0,1,BLZ-137
SITE-010,2025-09,22,0,2,BLZ-137
SITE-010,2025-10,11,0,2,BLZ-137
SITE-011,2025-04,19,0,1,BLZ-137
SITE-011,2025-05,30,0,0,BLZ-137
SITE-011,2025-06,35,0,1,BLZ-137
SITE-011,2025-07,47,0,2,BLZ-137
SITE-011,2025-08,26,0,1,BLZ-137
SITE-011,2025-09,13,0,2,BLZ-137
SITE-011,2025-10,6,0,2,BLZ-137
SITE-012,2025-04,9,0,0,BLZ-137
SITE-012,2025-05,17,0,1,BLZ-137
SITE-012,2025-06,25,0,1,BLZ-137
SITE-012,2025-07,29,0,1,BLZ-137
SITE-012,2025-08,14,0,0,BLZ-137
SITE-012,2025-09,8,0,1,BLZ-137
SITE-012,2025-10,2,0,3,BLZ-137
SITE-013,2025-04,11,0,2,BLZ-137
SITE-013,2025-05,33,0,1,BLZ-137
SITE-013,2025-06,33,0,1,BLZ-137
SITE-013,2025-07,46,0,2,BLZ-137
SITE-013,2025-08,27,0,1,BLZ-137
SITE-013,2025-09,14,0,0,BLZ-137
SITE-013,2025-10,3,0,4,BLZ-137
SITE-014,2025-04,12,1,0,BLZ-137
SITE-014,2025-05,34,0,1,BLZ-137
SITE-014,2025-06,46,0,0,BLZ-137
SITE-014,2025-07,48,1,2,BLZ-137
SITE-014,2025-08,28,1,0,BLZ-137
SITE-014,2025-09,15,1,1,BLZ-137
SITE-014,2025-10,6,1,2,BLZ-137
SITE-015,2025-04,19,0,2,BLZ-137
SITE-015,2025-05,31,0,1,BLZ-137
SITE-015,2025-06,40,0,2,BLZ-137
SITE-015,2025-07,37,0,0,BLZ-137
SITE-015,2025-08,23,0,0,BLZ-137
SITE-015,2025-09,12,0,0,BLZ-137
SITE-015,2025-10,6,0,1,BLZ-137
SITE-016,2025-04,16,0,0,BLZ-137
SITE-016,2025-05,32,0,1,BLZ-137
SITE-016,2025-06,31,0,1,BLZ-137
SITE-016,2025-07,49,0,1,BLZ-137
SITE-016,2025-08,29,0,1,BLZ-137
SITE-016,2025-09,19,0,0,BLZ-137
SITE-016,2025-10,7,0,1,BLZ-137
SITE-017,2025-04,22,0,1,BLZ-137
SITE-017,2025-05,32,0,2,BLZ-137
SITE-017,2025-06,38,0,0,BLZ-137
SITE-017,2025-07,43,0,1,BLZ-137
SITE-017,2025-08,22,0,0,BLZ-137
SITE-017,2025-09,15,0,0,BLZ-137
SITE-017,2025-10,2,0,1,BLZ-137
SITE-018,2025-04,15,0,2,BLZ-137
SITE-018,2025-05,21,0,1,BLZ-137
SITE-018,2025-06,47,0,1,BLZ-137
SITE-018,2025-07,50,0,1,BLZ-137
SITE-018,2025-08,32,0,2,BLZ-137
SITE-018,2025-09,18,0,2,BLZ-137
SITE-018,2025-10,7,0,2,BLZ-137
SITE-019,2025-04,14,0,2,BLZ-137
SITE-019,2025-05,40,0,1,BLZ-137
SITE-019,2025-06,48,0,2,BLZ-137
SITE-019,2025-07,39,0,1,BLZ-137
SITE-019,2025-08,28,0,1,BLZ-137
SITE-019,2025-09,12,0,0,BLZ-137
