route_key,supplier_id,month,shipment_count,avg_delay_days,p90_delay_days,study_code
DE->DE,SPLR-B,2025-06,1,6.0,6.0,BLZ-137
DE->DE,SPLR-B,2025-07,5,0.7777777777777778,4.0,BLZ-137
DE->DE,SPLR-B,2025-08,4,2.375,3.3,BLZ-137
DE->DE,SPLR-B,2025-09,3,1.2857142857142858,5.4,BLZ-137
DE->DE,SPLR-B,2025-10,2,3.5,4.7,BLZ-137
DE->ES,SPLR-B,2025-07,8,1.5,4.300000000000001,BLZ-137
DE->ES,SPLR-B,2025-08,5,0.0,2.200000000000001,BLZ-137
DE->ES,SPLR-B,2025-09,4,2.2857142857142856,4.800000000000001,BLZ-137
DE->ES,SPLR-B,2025-10,3,4.0,5.7,BLZ-137
DE->FR,SPLR-B,2025-06,1,3.0,3.0,BLZ-137
DE->FR,SPLR-B,2025-07,11,2.227272727272727,5.0,BLZ-137
DE->FR,SPLR-B,2025-08,9,0.6428571428571429,5.100000000000003,BLZ-137
DE->FR,SPLR-B,2025-09,6,3.2,5.0,BLZ-137
DE->FR,SPLR-B,2025-10,4,1.5714285714285714,4.200000000000001,BLZ-137
DE->GB,SPLR-B,2025-06,1,5.0,5.0,BLZ-137
DE->GB,SPLR-B,2025-07,8,1.8823529411764706,6.0,BLZ-137
DE->GB,SPLR-B,2025-08,5,0.8333333333333334,2.5,BLZ-137
DE->GB,SPLR-B,2025-09,4,3.8,6.0,BLZ-137
DE->GB,SPLR-B,2025-10,4,2.7142857142857144,6.0,BLZ-137
DE->IT,SPLR-B,2025-07,6,2.4285714285714284,6.0,BLZ-137
DE->IT,SPLR-B,2025-08,4,3.2,6.0,BLZ-137
DE->IT,SPLR-B,2025-09,4,2.75,4.3,BLZ-137
DE->IT,SPLR-B,2025-10,3,0.75,4.200000000000001,BLZ-137
DE->NL,SPLR-B,2025-06,1,3.0,4.6,BLZ-137
DE->NL,SPLR-B,2025-07,12,1.4444444444444444,4.400000000000002,BLZ-137
DE->NL,SPLR-B,2025-08,8,2.6153846153846154,6.0,BLZ-137
DE->NL,SPLR-B,2025-09,7,1.2857142857142858,4.700000000000001,BLZ-137
DE->NL,SPLR-B,2025-10,6,1.7142857142857142,4.0,BLZ-137
DE->ZA,SPLR-B,2025-07,4,1.0,6.0,BLZ-137
DE->ZA,SPLR-B,2025-08,3,3.0,5.8,BLZ-137
DE->ZA,SPLR-B,2025-09,2,0.5,2.0,BLZ-137
DE->ZA,SPLR-B,2025-10,1,5.0,5.0,BLZ-137
IN->IN,SPLR-C,2025-06,1,4.0,4.0,BLZ-137
IN->IN,SPLR-C,2025-07,10,2.8421052631578947,6.0,BLZ-137
IN->IN,SPLR-C,2025-08,7,3.3,6.0,BLZ-137
IN->IN,SPLR-C,2025-09,5,2.111111111111111,4.4,BLZ-137
IN->IN,SPLR-C,2025-10,5,2.6666666666666665,5.5,BLZ-137
JP->AU,SPLR-D,2025-07,2,2.0,2.8,BLZ-137
JP->AU,SPLR-D,2025-08,2,-0.3333333333333333,2.0,BLZ-137
JP->AU,SPLR-D,2025-10,1,1.6666666666666667,5.0,BLZ-137
JP->JP,SPLR-D,2025-06,1,3.0,3.0,BLZ-137
JP->JP,SPLR-D,2025-07,6,1.2727272727272727,5.0,BLZ-137
JP->JP,SPLR-D,2025-08,6,0.9166666666666666,3.9000000000000004,BLZ-137
JP->JP,SPLR-D,2025-09,4,2.5714285714285716,6.0,BLZ-137
JP->JP,SPLR-D,2025-10,3,1.6,4.2,BLZ-137
JP->KR,SPLR-D,2025-07,4,1.25,2.8999999999999995,BLZ-137
JP->KR,SPLR-D,2025-08,3,0.75,2.0,BLZ-137
JP->KR,SPLR-D,2025-09,2,2.75,5.4,BLZ-137
JP->KR,SPLR-D,2025-10,1,4.5,4.9,BLZ-137
US->BR,SPLR-A,2025-07,3,1.8571428571428572,5.4,BLZ-137
US->BR,SPLR-A,2025-08,2,2.4,4.6,BLZ-137
US->BR,SPLR-A,2025-09,2,0.25,3.1000000000000005,BLZ-137
US->BR,SPLR-A,2025-10,1,1.5,1.9,BLZ-137
US->CA,SPLR-A,2025-06,2,2.5,4.5,BLZ-137
US->CA,SPLR-A,2025-07,15,1.2413793103448276,5.199999999999999,BLZ-137
US->CA,SPLR-A,2025-08,10,1.7647058823529411,6.0,BLZ-137
US->CA,SPLR-A,2025-09,6,2.3076923076923075,5.800000000000001,BLZ-137
US->CA,SPLR-A,2025-10,5,1.2,6.0,BLZ-137
US->MX,SPLR-A,2025-07,1,4.333333333333333,5.6,BLZ-137
US->MX,SPLR-A,2025-08,1,-1.6666666666666667,-1.2,BLZ-137
US->MX,SPLR-A,2025-09,1,1.0,1.0,BLZ-137
US->MX,SPLR-A,2025-10,1,-0.5,-0.09999999999999998,BLZ-137
US->US,SPLR-A,2025-06,1,4.0,4.0,BLZ-137
US->US,SPLR-A,2025-07,12,2.6538461538461537,5.5,BLZ-137
US->US,SPLR-A,2025-08,9,2.5,6.0,BLZ-137
US->US,SPLR-A,2025-09,7,1.2857142857142858,4.700000000000001,BLZ-137
US->US,SPLR-A,2025-10,6,2.3333333333333335,4.5,BLZ-137
