shipment_id,to_site,site_id,route_key,supplier_id,dispatch_dt,eta_dt,lead_days,delay_days,status,study_code,month
SHP-001-1,SITE-001,SITE-001,DE->NL,SPLR-B,2025-07-19,2025-07-25,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-001-1,SITE-001,SITE-001,DE->NL,SPLR-B,2025-07-22,2025-07-31,9,2.0,Quarantined,BLZ-137,2025-07
SHP-001-1,SITE-001,SITE-001,DE->NL,SPLR-B,2025-07-06,2025-07-14,8,1.0,Quarantined,BLZ-137,2025-07
SHP-001-2,SITE-001,SITE-001,DE->NL,SPLR-B,2025-08-03,2025-08-16,13,6.0,Quarantined,BLZ-137,2025-08
SHP-001-2,SITE-001,SITE-001,DE->NL,SPLR-B,2025-08-18,2025-08-31,13,6.0,Quarantined,BLZ-137,2025-08
SHP-001-2,SITE-001,SITE-001,DE->NL,SPLR-B,2025-07-19,2025-07-30,11,4.0,Quarantined,BLZ-137,2025-07
SHP-001-3,SITE-001,SITE-001,DE->NL,SPLR-B,2025-09-09,2025-09-19,10,3.0,Quarantined,BLZ-137,2025-09
SHP-001-3,SITE-001,SITE-001,DE->NL,SPLR-B,2025-09-30,2025-10-05,5,-2.0,Quarantined,BLZ-137,2025-09
SHP-001-3,SITE-001,SITE-001,DE->NL,SPLR-B,2025-10-01,2025-10-11,10,3.0,Quarantined,BLZ-137,2025-10
SHP-002-1,SITE-002,SITE-002,DE->FR,SPLR-B,2025-07-21,2025-07-28,7,0.0,In Transit,BLZ-137,2025-07
SHP-002-1,SITE-002,SITE-002,DE->FR,SPLR-B,2025-07-14,2025-07-24,10,3.0,Delivered,BLZ-137,2025-07
SHP-002-1,SITE-002,SITE-002,DE->FR,SPLR-B,2025-07-22,2025-08-02,11,4.0,Delivered,BLZ-137,2025-07
SHP-002-2,SITE-002,SITE-002,DE->FR,SPLR-B,2025-08-07,2025-08-20,13,6.0,In Transit,BLZ-137,2025-08
SHP-002-2,SITE-002,SITE-002,DE->FR,SPLR-B,2025-08-08,2025-08-13,5,-2.0,Delivered,BLZ-137,2025-08
SHP-002-2,SITE-002,SITE-002,DE->FR,SPLR-B,2025-07-17,2025-07-25,8,1.0,Delivered,BLZ-137,2025-07
SHP-002-3,SITE-002,SITE-002,DE->FR,SPLR-B,2025-08-26,2025-09-02,7,0.0,Quarantined,BLZ-137,2025-08
SHP-002-3,SITE-002,SITE-002,DE->FR,SPLR-B,2025-10-09,2025-10-16,7,0.0,Quarantined,BLZ-137,2025-10
SHP-002-3,SITE-002,SITE-002,DE->FR,SPLR-B,2025-09-22,2025-10-02,10,3.0,Quarantined,BLZ-137,2025-09
SHP-003-1,SITE-003,SITE-003,IN->IN,SPLR-C,2025-07-18,2025-07-24,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-003-1,SITE-003,SITE-003,IN->IN,SPLR-C,2025-07-20,2025-08-01,12,5.0,Quarantined,BLZ-137,2025-07
SHP-003-1,SITE-003,SITE-003,IN->IN,SPLR-C,2025-07-14,2025-07-23,9,2.0,Quarantined,BLZ-137,2025-07
SHP-003-2,SITE-003,SITE-003,IN->IN,SPLR-C,2025-08-04,2025-08-16,12,5.0,Quarantined,BLZ-137,2025-08
SHP-003-2,SITE-003,SITE-003,IN->IN,SPLR-C,2025-07-30,2025-08-12,13,6.0,Quarantined,BLZ-137,2025-07
SHP-003-2,SITE-003,SITE-003,IN->IN,SPLR-C,2025-07-06,2025-07-19,13,6.0,Quarantined,BLZ-137,2025-07
