shipment_id,lot_id,ndc,qty,line_no,depot_id,status,dispatch_dt,unit_cost_usd,transport_cost_usd,handling_cost_usd,total_cost_usd
SHP-015-3,LOT-015-C,NDC-0006-5331-01,21,1,DEPOT-NJ,Delivered,2025-10-02,1507,1305,242,33194
SHP-048-3,LOT-048-C,NDC-0006-5331-01,38,1,DEPOT-NJ,Delivered,2025-09-29,1510,1441,109,58930
SHP-048-2,LOT-048-B,NDC-0006-5332-01,17,2,DEPOT-NJ,Quarantined,2025-07-05,1622,1331,201,29106
SHP-013-2,LOT-013-B,NDC-0006-5332-01,13,2,DEPOT-BLR,Quarantined,2025-07-24,1701,1192,328,23633
SHP-016-3,LOT-016-C,NDC-0006-5331-01,34,1,DEPOT-HH,Quarantined,2025-09-26,1507,1005,151,52394
SHP-027-3,LOT-027-C,NDC-0006-5333-01,32,3,DEPOT-HH,Delivered,2025-10-04,2262,820,294,73498
SHP-002-1,LOT-002-A,NDC-0006-5331-01,39,1,DEPOT-HH,Delivered,2025-07-22,1416,1043,149,56416
SHP-036-2,LOT-036-B,NDC-0006-5332-01,16,2,DEPOT-HH,Delivered,2025-07-26,1814,711,178,29913
SHP-012-1,LOT-012-A,NDC-0006-5331-01,22,1,DEPOT-HH,Delivered,2025-07-31,1510,1447,343,35010
SHP-010-3,LOT-010-C,NDC-0006-5333-01,30,3,DEPOT-TYO,Quarantined,2025-10-07,2203,941,262,67293
SHP-031-2,LOT-031-B,NDC-0006-5332-01,11,2,DEPOT-BLR,Delivered,2025-07-25,1622,1065,210,19117
SHP-009-3,LOT-009-C,NDC-0006-5331-01,33,1,DEPOT-BLR,Quarantined,2025-09-13,1416,1077,332,48137
SHP-039-1,LOT-039-A,NDC-0006-5333-01,29,3,DEPOT-NJ,Quarantined,2025-07-15,2203,1401,195,65483
SHP-010-2,LOT-010-B,NDC-0006-5331-01,8,1,DEPOT-TYO,In Transit,2025-07-31,1510,1366,209,13655
