lot_id,shipment_id,ndc,qty,unit_cost_usd,total_loss_usd,event_type,event_dt
LOT-017-B,SHP-017-2,NDC-0006-5331-01,9,1416,12744,Quarantine,2025-08-07
LOT-060-A,SHP-060-1,NDC-0006-5333-01,30,2312,69360,Quarantine,2025-08-02
LOT-006-B,SHP-006-2,NDC-0006-5332-01,21,1622,34062,Quarantine,2025-08-29
LOT-055-B,SHP-055-2,NDC-0006-5332-01,22,1622,35684,Quarantine,2025-08-24
LOT-017-C,SHP-017-3,NDC-0006-5331-01,33,1510,49830,Quarantine,2025-09-28
LOT-051-C,SHP-051-3,NDC-0006-5332-01,25,1701,42525,Quarantine,2025-10-10
LOT-018-A,SHP-018-1,NDC-0006-5332-01,43,1814,78002,Quarantine,2025-07-20
LOT-046-C,SHP-046-3,NDC-0006-5331-01,27,1507,40689,Quarantine,2025-09-23
LOT-046-A,SHP-046-1,NDC-0006-5332-01,32,1701,54432,Quarantine,2025-07-31
LOT-005-A,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-06-02
LOT-017-C,SHP-017-3,NDC-0006-5331-01,33,1507,49731,Quarantine,2025-09-28
LOT-005-C,,NDC-0006-5332-01,1,1622,1622,ExpirySoon,2025-08-25
LOT-043-A,SHP-043-1,NDC-0006-5332-01,35,1814,63490,Quarantine,2025-07-23
LOT-049-A,SHP-049-1,NDC-0006-5333-01,31,2312,71672,Quarantine,2025-07-19
LOT-005-B,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-06-03
LOT-020-C,SHP-020-3,NDC-0006-5333-01,25,2312,57800,Quarantine,2025-10-10
LOT-005-C,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-06-25
LOT-059-A,SHP-059-1,NDC-0006-5331-01,36,1507,54252,Quarantine,2025-07-15
LOT-035-A,SHP-035-1,NDC-0006-5333-01,40,2312,92480,Quarantine,2025-08-01
LOT-052-A,SHP-052-1,NDC-0006-5332-01,25,1814,45350,Quarantine,2025-07-28
LOT-047-C,SHP-047-3,NDC-0006-5333-01,32,2203,70496,Quarantine,2025-09-19
LOT-005-C,,NDC-0006-5331-01,1,1510,1510,ExpirySoon,2025-07-28
LOT-005-A,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-06-16
LOT-033-C,SHP-033-3,NDC-0006-5333-01,30,2203,66090,Quarantine,2025-10-08
LOT-005-A,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-04-28
LOT-034-C,SHP-034-3,NDC-0006-5332-01,25,1622,40550,Quarantine,2025-10-17
LOT-017-A,SHP-017-1,NDC-0006-5332-01,37,1701,62937,Quarantine,2025-07-25
LOT-019-A,SHP-019-1,NDC-0006-5331-01,40,1507,60280,Quarantine,2025-08-17
LOT-054-C,SHP-054-3,NDC-0006-5333-01,24,2312,55488,Quarantine,2025-10-08
LOT-039-C,SHP-039-3,NDC-0006-5331-01,28,1416,39648,Quarantine,2025-10-11
LOT-027-A,SHP-027-1,NDC-0006-5331-01,29,1507,43703,Quarantine,2025-08-01
LOT-020-C,SHP-020-3,NDC-0006-5333-01,25,2203,55075,Quarantine,2025-10-10
LOT-005-A,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-07-24
LOT-048-C,SHP-048-3,NDC-0006-5333-01,26,2262,58812,Quarantine,2025-09-15
LOT-052-C,SHP-052-3,NDC-0006-5332-01,42,1701,71442,Quarantine,2025-10-14
LOT-009-C,SHP-009-3,NDC-0006-5332-01,24,1701,40824,Quarantine,2025-09-19
LOT-043-C,SHP-043-3,NDC-0006-5333-01,35,2312,80920,Quarantine,2025-09-18
LOT-027-A,SHP-027-1,NDC-0006-5331-01,29,1416,41064,Quarantine,2025-08-01
LOT-011-B,SHP-011-2,NDC-0006-5333-01,15,2312,34680,Quarantine,2025-08-03
LOT-053-A,SHP-053-1,NDC-0006-5333-01,35,2262,79170,Quarantine,2025-07-18
LOT-049-A,SHP-049-1,NDC-0006-5332-01,38,1814,68932,Quarantine,2025-08-03
LOT-060-A,SHP-060-1,NDC-0006-5332-01,29,1701,49329,Quarantine,2025-07-27
LOT-036-C,SHP-036-3,NDC-0006-5331-01,31,1510,46810,Quarantine,2025-09-30
LOT-005-C,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-06-20
LOT-021-C,SHP-021-3,NDC-0006-5331-01,27,1507,40689,Quarantine,2025-09-27
LOT-057-C,SHP-057-3,NDC-0006-5332-01,36,1701,61236,Quarantine,2025-10-16
LOT-060-C,SHP-060-3,NDC-0006-5332-01,27,1814,48978,Quarantine,2025-10-13
LOT-034-A,SHP-034-1,NDC-0006-5331-01,34,1510,51340,Quarantine,2025-07-26
LOT-023-A,SHP-023-1,NDC-0006-5332-01,37,1814,67118,Quarantine,2025-07-28
LOT-005-A,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-07-04
LOT-037-C,SHP-037-3,NDC-0006-5332-01,33,1701,56133,Quarantine,2025-10-01
LOT-036-A,SHP-036-1,NDC-0006-5331-01,20,1416,28320,Quarantine,2025-07-27
LOT-009-A,SHP-009-1,NDC-0006-5333-01,26,2262,58812,Quarantine,2025-07-18
LOT-005-C,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-10-16
LOT-005-B,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-06-03
LOT-055-B,SHP-055-2,NDC-0006-5331-01,7,1507,10549,Quarantine,2025-08-20
LOT-003-C,SHP-003-3,NDC-0006-5332-01,28,1622,45416,Quarantine,2025-10-09
LOT-005-A,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-07
LOT-003-C,SHP-003-3,NDC-0006-5332-01,28,1701,47628,Quarantine,2025-10-09
LOT-005-B,SHP-005-2,NDC-0006-5332-01,16,1701,27216,Quarantine,2025-08-29
LOT-020-C,SHP-020-3,NDC-0006-5332-01,32,1622,51904,Quarantine,2025-10-12
LOT-016-B,SHP-016-2,NDC-0006-5333-01,18,2262,40716,Quarantine,2025-08-14
LOT-005-A,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-06-15
LOT-005-A,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-06-02
LOT-009-C,SHP-009-3,NDC-0006-5333-01,25,2203,55075,Quarantine,2025-10-12
LOT-005-C,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-10-16
LOT-005-C,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-09
LOT-009-A,SHP-009-1,NDC-0006-5331-01,45,1510,67950,Quarantine,2025-07-27
LOT-007-A,SHP-007-1,NDC-0006-5332-01,30,1622,48660,Quarantine,2025-07-26
LOT-005-A,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-06-20
LOT-005-B,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-06-19
LOT-009-A,SHP-009-1,NDC-0006-5332-01,21,1622,34062,Quarantine,2025-07-14
LOT-050-A,SHP-050-1,NDC-0006-5332-01,34,1622,55148,Quarantine,2025-07-29
LOT-005-A,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-04-28
LOT-005-C,SHP-005-3,NDC-0006-5332-01,26,1701,44226,Quarantine,2025-10-03
LOT-018-C,SHP-018-3,NDC-0006-5331-01,34,1416,48144,Quarantine,2025-10-11
LOT-017-C,SHP-017-3,NDC-0006-5332-01,20,1622,32440,Quarantine,2025-10-15
LOT-017-B,SHP-017-2,NDC-0006-5331-01,9,1507,13563,Quarantine,2025-08-07
LOT-024-C,SHP-024-3,NDC-0006-5333-01,31,2312,71672,Quarantine,2025-10-07
LOT-014-B,SHP-014-2,NDC-0006-5333-01,9,2312,20808,Quarantine,2025-08-23
LOT-042-A,SHP-042-1,NDC-0006-5333-01,30,2312,69360,Quarantine,2025-07-28
LOT-009-A,SHP-009-1,NDC-0006-5331-01,45,1507,67815,Quarantine,2025-07-27
LOT-052-C,SHP-052-3,NDC-0006-5331-01,16,1416,22656,Quarantine,2025-09-16
LOT-048-C,SHP-048-3,NDC-0006-5333-01,26,2312,60112,Quarantine,2025-09-15
LOT-023-A,SHP-023-1,NDC-0006-5332-01,37,1701,62937,Quarantine,2025-07-28
LOT-005-B,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-07-19
LOT-050-C,SHP-050-3,NDC-0006-5332-01,27,1814,48978,Quarantine,2025-09-15
LOT-005-A,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-05-06
LOT-005-C,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-07-28
LOT-022-C,SHP-022-3,NDC-0006-5333-01,27,2312,62424,Quarantine,2025-10-08
LOT-005-C,,NDC-0006-5331-01,1,1510,1510,ExpirySoon,2025-10-21
LOT-057-A,SHP-057-1,NDC-0006-5331-01,40,1416,56640,Quarantine,2025-08-02
LOT-005-C,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-06-24
LOT-002-C,SHP-002-3,NDC-0006-5331-01,32,1416,45312,Quarantine,2025-09-02
LOT-034-B,SHP-034-2,NDC-0006-5332-01,13,1701,22113,Quarantine,2025-08-21
LOT-005-C,,NDC-0006-5332-01,1,1622,1622,ExpirySoon,2025-09-13
LOT-051-C,SHP-051-3,NDC-0006-5331-01,29,1416,41064,Quarantine,2025-09-24
LOT-048-A,SHP-048-1,NDC-0006-5333-01,39,2262,88218,Quarantine,2025-07-27
LOT-007-B,SHP-007-2,NDC-0006-5332-01,15,1814,27210,Quarantine,2025-08-27
LOT-038-C,SHP-038-3,NDC-0006-5333-01,33,2312,76296,Quarantine,2025-10-19
LOT-035-A,SHP-035-1,NDC-0006-5333-01,40,2203,88120,Quarantine,2025-08-01
LOT-010-C,SHP-010-3,NDC-0006-5333-01,30,2203,66090,Quarantine,2025-10-20
LOT-009-B,SHP-009-2,NDC-0006-5331-01,12,1510,18120,Quarantine,2025-07-24
LOT-003-C,SHP-003-3,NDC-0006-5333-01,22,2262,49764,Quarantine,2025-10-14
LOT-007-C,SHP-007-3,NDC-0006-5333-01,24,2203,52872,Quarantine,2025-09-06
LOT-026-C,SHP-026-3,NDC-0006-5333-01,29,2203,63887,Quarantine,2025-10-05
LOT-054-C,SHP-054-3,NDC-0006-5333-01,24,2262,54288,Quarantine,2025-10-08
LOT-046-B,SHP-046-2,NDC-0006-5333-01,19,2312,43928,Quarantine,2025-08-18
LOT-021-A,SHP-021-1,NDC-0006-5333-01,33,2262,74646,Quarantine,2025-07-09
LOT-060-C,SHP-060-3,NDC-0006-5332-01,27,1622,43794,Quarantine,2025-10-13
LOT-059-C,SHP-059-3,NDC-0006-5332-01,27,1622,43794,Quarantine,2025-10-21
LOT-005-A,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-06-21
LOT-039-C,SHP-039-3,NDC-0006-5333-01,40,2312,92480,Quarantine,2025-10-04
LOT-034-C,SHP-034-3,NDC-0006-5332-01,25,1814,45350,Quarantine,2025-10-17
LOT-013-C,SHP-013-3,NDC-0006-5332-01,20,1622,32440,Quarantine,2025-10-02
LOT-005-C,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-06-25
LOT-005-C,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-06-10
LOT-005-C,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-02
LOT-028-A,SHP-028-1,NDC-0006-5331-01,29,1507,43703,Quarantine,2025-08-08
LOT-045-A,SHP-045-1,NDC-0006-5333-01,34,2312,78608,Quarantine,2025-08-01
LOT-020-C,SHP-020-3,NDC-0006-5331-01,28,1416,39648,Quarantine,2025-09-29
LOT-005-A,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-21
LOT-017-C,SHP-017-3,NDC-0006-5333-01,26,2262,58812,Quarantine,2025-09-16
LOT-009-B,SHP-009-2,NDC-0006-5331-01,12,1416,16992,Quarantine,2025-07-24
LOT-031-C,SHP-031-3,NDC-0006-5333-01,32,2312,73984,Quarantine,2025-09-26
LOT-013-C,SHP-013-3,NDC-0006-5332-01,20,1701,34020,Quarantine,2025-10-02
LOT-047-C,SHP-047-3,NDC-0006-5331-01,18,1507,27126,Quarantine,2025-10-02
LOT-016-C,SHP-016-3,NDC-0006-5331-01,34,1507,51238,Quarantine,2025-10-04
LOT-005-A,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-04-14
LOT-059-C,SHP-059-3,NDC-0006-5331-01,30,1507,45210,Quarantine,2025-10-07
LOT-052-A,SHP-052-1,NDC-0006-5331-01,35,1507,52745,Quarantine,2025-08-09
LOT-040-B,SHP-040-2,NDC-0006-5331-01,17,1416,24072,Quarantine,2025-08-26
LOT-034-B,SHP-034-2,NDC-0006-5332-01,13,1814,23582,Quarantine,2025-08-21
LOT-044-C,SHP-044-3,NDC-0006-5332-01,33,1814,59862,Quarantine,2025-10-07
LOT-005-C,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-07-28
LOT-055-B,SHP-055-2,NDC-0006-5332-01,22,1814,39908,Quarantine,2025-08-24
LOT-017-B,SHP-017-2,NDC-0006-5331-01,9,1510,13590,Quarantine,2025-08-07
LOT-037-B,SHP-037-2,NDC-0006-5331-01,14,1510,21140,Quarantine,2025-08-16
LOT-009-A,SHP-009-1,NDC-0006-5332-01,21,1814,38094,Quarantine,2025-07-14
LOT-005-A,,NDC-0006-5331-01,1,1510,1510,ExpirySoon,2025-06-16
LOT-039-B,SHP-039-2,NDC-0006-5333-01,15,2203,33045,Quarantine,2025-07-21
LOT-009-C,SHP-009-3,NDC-0006-5332-01,24,1814,43536,Quarantine,2025-09-19
LOT-014-C,SHP-014-3,NDC-0006-5331-01,33,1416,46728,Quarantine,2025-10-22
LOT-004-C,SHP-004-3,NDC-0006-5331-01,30,1507,45210,Quarantine,2025-09-24
LOT-005-B,,NDC-0006-5333-01,1,2262,2262,ExpirySoon,2025-07-28
LOT-041-C,SHP-041-3,NDC-0006-5331-01,24,1507,36168,Quarantine,2025-10-20
