depot_id,lot_id,storage_bin,qty_on_hand,cycle_count_dt
DEPOT-BLR,LOT-003-A,BIN-0511,95,2025-07-14
DEPOT-BLR,LOT-003-B,BIN-1328,19,2025-07-12
DEPOT-BLR,LOT-003-B,BIN-1460,5,2025-08-01
DEPOT-BLR,LOT-003-C,BIN-1412,4,2025-07-27
DEPOT-BLR,LOT-003-C,BIN-0570,19,2025-07-21
DEPOT-BLR,LOT-003-C,BIN-1183,8,2025-07-19
DEPOT-BLR,LOT-009-A,BIN-0977,3,2025-07-03
DEPOT-BLR,LOT-009-A,BIN-0088,5,2025-07-22
DEPOT-BLR,LOT-009-A,BIN-0156,11,2025-07-24
DEPOT-BLR,LOT-009-A,BIN-0322,5,2025-07-06
DEPOT-BLR,LOT-009-A,BIN-0065,6,2025-07-10
DEPOT-BLR,LOT-009-B,BIN-1286,2,2025-07-20
DEPOT-BLR,LOT-009-B,BIN-0049,5,2025-07-06
DEPOT-BLR,LOT-009-B,BIN-1212,1,2025-07-21
DEPOT-BLR,LOT-009-C,BIN-0696,15,2025-07-17
DEPOT-BLR,LOT-009-C,BIN-0619,18,2025-07-18
DEPOT-BLR,LOT-013-A,BIN-1724,6,2025-07-24
DEPOT-BLR,LOT-013-A,BIN-0843,11,2025-07-12
DEPOT-BLR,LOT-013-A,BIN-1113,2,2025-07-20
DEPOT-BLR,LOT-013-A,BIN-0939,1,2025-07-31
DEPOT-BLR,LOT-013-B,BIN-1029,9,2025-07-20
DEPOT-BLR,LOT-013-B,BIN-0083,5,2025-07-15
DEPOT-BLR,LOT-013-B,BIN-1217,4,2025-07-13
DEPOT-BLR,LOT-013-B,BIN-1526,4,2025-07-23
DEPOT-BLR,LOT-013-C,BIN-1511,27,2025-07-18
DEPOT-BLR,LOT-013-C,BIN-0666,38,2025-07-13
DEPOT-BLR,LOT-031-A,BIN-1324,14,2025-07-22
DEPOT-BLR,LOT-031-A,BIN-0141,26,2025-07-19
DEPOT-BLR,LOT-031-A,BIN-0959,10,2025-07-21
DEPOT-BLR,LOT-031-A,BIN-1261,17,2025-07-24
DEPOT-BLR,LOT-031-B,BIN-1316,4,2025-07-18
DEPOT-BLR,LOT-031-C,BIN-0369,2,2025-07-22
DEPOT-BLR,LOT-031-C,BIN-0250,9,2025-07-18
DEPOT-BLR,LOT-031-C,BIN-1384,17,2025-07-29
DEPOT-BLR,LOT-037-A,BIN-1079,159,2025-07-22
DEPOT-BLR,LOT-037-B,BIN-0656,5,2025-07-09
DEPOT-BLR,LOT-037-B,BIN-0708,6,2025-07-24
DEPOT-BLR,LOT-037-B,BIN-1572,1,2025-07-21
DEPOT-BLR,LOT-037-B,BIN-0727,8,2025-07-06
DEPOT-BLR,LOT-037-C,BIN-1119,4,2025-07-12
DEPOT-BLR,LOT-037-C,BIN-1898,8,2025-07-30
DEPOT-HH,LOT-001-A,BIN-1819,5,2025-07-03
DEPOT-HH,LOT-001-A,BIN-1755,13,2025-07-10
DEPOT-HH,LOT-001-A,BIN-1607,19,2025-07-29
DEPOT-HH,LOT-001-B,BIN-1965,1,2025-07-24
DEPOT-HH,LOT-001-B,BIN-0663,7,2025-07-16
DEPOT-HH,LOT-001-B,BIN-1216,3,2025-07-06
DEPOT-HH,LOT-001-B,BIN-0657,1,2025-07-20
DEPOT-HH,LOT-001-C,BIN-1044,12,2025-07-04
DEPOT-HH,LOT-001-C,BIN-1054,10,2025-07-29
DEPOT-HH,LOT-001-C,BIN-0240,19,2025-07-06
DEPOT-HH,LOT-002-A,BIN-1386,11,2025-07-25
DEPOT-HH,LOT-002-A,BIN-0394,14,2025-07-23
DEPOT-HH,LOT-002-A,BIN-0905,7,2025-07-20
DEPOT-HH,LOT-002-A,BIN-0044,7,2025-08-01
DEPOT-HH,LOT-002-A,BIN-0844,2,2025-07-19
DEPOT-HH,LOT-002-B,BIN-1909,7,2025-07-31
DEPOT-HH,LOT-002-B,BIN-1433,2,2025-07-16
DEPOT-HH,LOT-002-B,BIN-0063,3,2025-07-18
DEPOT-HH,LOT-002-C,BIN-1967,83,2025-07-26
DEPOT-HH,LOT-004-A,BIN-0693,19,2025-07-20
DEPOT-HH,LOT-004-A,BIN-1145,32,2025-07-09
DEPOT-HH,LOT-004-A,BIN-1044,31,2025-07-18
DEPOT-HH,LOT-004-B,BIN-1552,3,2025-07-18
DEPOT-HH,LOT-004-B,BIN-1928,10,2025-07-25
DEPOT-HH,LOT-004-B,BIN-0504,3,2025-07-09
DEPOT-HH,LOT-004-B,BIN-1836,6,2025-07-29
DEPOT-HH,LOT-004-B,BIN-0303,7,2025-07-24
DEPOT-HH,LOT-004-B,BIN-0545,3,2025-07-15
DEPOT-HH,LOT-004-C,BIN-0465,13,2025-07-07
DEPOT-HH,LOT-004-C,BIN-1196,6,2025-07-21
DEPOT-HH,LOT-004-C,BIN-0155,3,2025-07-26
DEPOT-HH,LOT-006-A,BIN-0687,32,2025-07-28
DEPOT-HH,LOT-006-B,BIN-1200,1,2025-07-05
DEPOT-HH,LOT-006-B,BIN-0511,7,2025-07-03
DEPOT-HH,LOT-006-B,BIN-1239,2,2025-07-26
DEPOT-HH,LOT-006-B,BIN-1338,4,2025-07-25
DEPOT-HH,LOT-006-C,BIN-1404,33,2025-07-26
DEPOT-HH,LOT-006-C,BIN-1014,14,2025-07-15
DEPOT-HH,LOT-012-A,BIN-1516,42,2025-07-06
DEPOT-HH,LOT-012-A,BIN-1516,4,2025-07-10
DEPOT-HH,LOT-012-B,BIN-1926,12,2025-07-23
DEPOT-HH,LOT-012-C,BIN-0867,9,2025-07-07
DEPOT-HH,LOT-012-C,BIN-0855,14,2025-07-21
DEPOT-HH,LOT-014-A,BIN-1222,3,2025-07-24
DEPOT-HH,LOT-014-A,BIN-1143,5,2025-07-17
DEPOT-HH,LOT-014-A,BIN-1238,14,2025-07-15
DEPOT-HH,LOT-014-B,BIN-0400,5,2025-07-24
DEPOT-HH,LOT-014-B,BIN-1842,4,2025-07-18
DEPOT-HH,LOT-014-B,BIN-0308,8,2025-07-30
DEPOT-HH,LOT-014-B,BIN-0890,10,2025-07-27
DEPOT-HH,LOT-014-C,BIN-0808,18,2025-07-11
DEPOT-HH,LOT-014-C,BIN-1490,8,2025-07-18
DEPOT-HH,LOT-014-C,BIN-1930,9,2025-07-24
DEPOT-HH,LOT-014-C,BIN-1024,2,2025-07-28
DEPOT-HH,LOT-016-A,BIN-1220,20,2025-07-31
DEPOT-HH,LOT-016-A,BIN-1053,5,2025-07-21
DEPOT-HH,LOT-016-A,BIN-1453,14,2025-07-21
DEPOT-HH,LOT-016-A,BIN-0423,3,2025-07-13
DEPOT-HH,LOT-016-B,BIN-1813,3,2025-07-21
DEPOT-HH,LOT-016-B,BIN-1189,4,2025-07-11
DEPOT-HH,LOT-016-B,BIN-1855,2,2025-07-23
DEPOT-HH,LOT-016-B,BIN-1904,2,2025-07-24
DEPOT-HH,LOT-016-C,BIN-0046,22,2025-07-07
DEPOT-HH,LOT-017-A,BIN-0001,11,2025-07-11
DEPOT-HH,LOT-017-A,BIN-1676,22,2025-07-30
DEPOT-HH,LOT-017-A,BIN-0828,1,2025-07-29
DEPOT-HH,LOT-017-A,BIN-0848,23,2025-08-01
DEPOT-HH,LOT-017-B,BIN-1364,1,2025-07-21
DEPOT-HH,LOT-017-B,BIN-1702,3,2025-07-25
DEPOT-HH,LOT-017-B,BIN-1377,1,2025-07-21
DEPOT-HH,LOT-017-C,BIN-0400,6,2025-07-20
DEPOT-HH,LOT-017-C,BIN-0072,9,2025-07-12
DEPOT-HH,LOT-017-C,BIN-0595,4,2025-07-27
DEPOT-HH,LOT-017-C,BIN-0622,1,2025-07-03
DEPOT-HH,LOT-017-C,BIN-1245,6,2025-07-09
DEPOT-HH,LOT-017-C,BIN-0728,4,2025-07-25
DEPOT-HH,LOT-020-A,BIN-0663,114,2025-07-15
DEPOT-HH,LOT-020-B,BIN-1076,4,2025-07-28
DEPOT-HH,LOT-020-B,BIN-1635,6,2025-07-31
DEPOT-HH,LOT-020-B,BIN-1937,15,2025-07-03
DEPOT-HH,LOT-020-B,BIN-0727,6,2025-07-22
DEPOT-HH,LOT-020-C,BIN-0596,3,2025-07-12
DEPOT-HH,LOT-020-C,BIN-0227,13,2025-07-07
DEPOT-HH,LOT-020-C,BIN-0101,3,2025-07-31
DEPOT-HH,LOT-020-C,BIN-1712,4,2025-07-08
DEPOT-HH,LOT-023-A,BIN-0446,51,2025-07-30
DEPOT-HH,LOT-023-A,BIN-1070,7,2025-07-12
DEPOT-HH,LOT-023-B,BIN-0136,12,2025-07-11
DEPOT-HH,LOT-023-C,BIN-1903,7,2025-07-05
DEPOT-HH,LOT-023-C,BIN-1123,23,2025-07-09
DEPOT-HH,LOT-023-C,BIN-1920,9,2025-07-28
DEPOT-HH,LOT-024-A,BIN-1956,1,2025-07-24
DEPOT-HH,LOT-024-A,BIN-0357,10,2025-07-10
DEPOT-HH,LOT-024-A,BIN-1027,9,2025-07-22
DEPOT-HH,LOT-024-A,BIN-1964,3,2025-07-23
DEPOT-HH,LOT-024-A,BIN-1322,7,2025-07-27
DEPOT-HH,LOT-024-B,BIN-0848,5,2025-07-26
DEPOT-HH,LOT-024-B,BIN-1379,12,2025-07-28
DEPOT-HH,LOT-024-B,BIN-0995,1,2025-07-06
DEPOT-HH,LOT-024-C,BIN-1758,2,2025-07-05
DEPOT-HH,LOT-024-C,BIN-1428,7,2025-07-22
DEPOT-HH,LOT-024-C,BIN-0724,4,2025-07-25
DEPOT-HH,LOT-024-C,BIN-1192,2,2025-07-25
DEPOT-HH,LOT-024-C,BIN-0531,2,2025-07-31
DEPOT-HH,LOT-024-C,BIN-1569,16,2025-07-14
DEPOT-HH,LOT-025-A,BIN-1119,3,2025-07-05
DEPOT-HH,LOT-025-A,BIN-1531,11,2025-07-06
DEPOT-HH,LOT-025-B,BIN-1095,10,2025-07-25
DEPOT-HH,LOT-025-B,BIN-1724,6,2025-07-24
DEPOT-HH,LOT-025-B,BIN-1879,4,2025-07-06
DEPOT-HH,LOT-025-B,BIN-1783,3,2025-07-11
DEPOT-HH,LOT-025-C,BIN-0343,26,2025-07-21
DEPOT-HH,LOT-025-C,BIN-0863,37,2025-07-10
DEPOT-HH,LOT-025-C,BIN-0386,19,2025-07-23
DEPOT-HH,LOT-026-A,BIN-1229,68,2025-07-03
DEPOT-HH,LOT-026-B,BIN-1173,5,2025-07-21
DEPOT-HH,LOT-026-B,BIN-0404,7,2025-07-15
DEPOT-HH,LOT-026-B,BIN-1363,5,2025-07-29
DEPOT-HH,LOT-026-B,BIN-1782,4,2025-07-30
DEPOT-HH,LOT-026-B,BIN-0185,3,2025-07-12
DEPOT-HH,LOT-026-C,BIN-0969,3,2025-07-28
DEPOT-HH,LOT-026-C,BIN-0730,4,2025-07-03
DEPOT-HH,LOT-026-C,BIN-0017,5,2025-08-01
DEPOT-HH,LOT-026-C,BIN-1212,7,2025-07-30
DEPOT-HH,LOT-026-C,BIN-1247,12,2025-07-29
DEPOT-HH,LOT-027-A,BIN-0953,7,2025-07-09
DEPOT-HH,LOT-027-A,BIN-0114,7,2025-07-03
DEPOT-HH,LOT-027-A,BIN-0409,5,2025-07-15
DEPOT-HH,LOT-027-A,BIN-1812,19,2025-07-28
DEPOT-HH,LOT-027-B,BIN-0427,8,2025-07-10
DEPOT-HH,LOT-027-B,BIN-0006,9,2025-07-18
DEPOT-HH,LOT-027-B,BIN-0712,6,2025-07-03
DEPOT-HH,LOT-027-B,BIN-1469,2,2025-07-21
DEPOT-HH,LOT-027-C,BIN-1391,18,2025-07-30
DEPOT-HH,LOT-027-C,BIN-1134,9,2025-07-29
DEPOT-HH,LOT-027-C,BIN-1559,4,2025-07-17
DEPOT-HH,LOT-030-A,BIN-1802,53,2025-07-30
DEPOT-HH,LOT-030-B,BIN-1203,2,2025-07-18
DEPOT-HH,LOT-030-B,BIN-0350,8,2025-07-22
DEPOT-HH,LOT-030-B,BIN-1975,9,2025-07-10
DEPOT-HH,LOT-030-B,BIN-1402,1,2025-07-21
DEPOT-HH,LOT-030-B,BIN-1106,4,2025-07-03
DEPOT-HH,LOT-030-C,BIN-1416,17,2025-07-15
DEPOT-HH,LOT-030-C,BIN-0470,16,2025-07-08
DEPOT-HH,LOT-030-C,BIN-1394,2,2025-07-20
DEPOT-HH,LOT-030-C,BIN-1451,12,2025-07-09
DEPOT-HH,LOT-030-C,BIN-0634,4,2025-07-03
DEPOT-HH,LOT-030-C,BIN-1441,4,2025-07-11
DEPOT-HH,LOT-032-A,BIN-0351,22,2025-07-17
DEPOT-HH,LOT-032-B,BIN-0933,11,2025-07-09
DEPOT-HH,LOT-032-B,BIN-1681,3,2025-07-06
DEPOT-HH,LOT-032-C,BIN-1729,17,2025-07-12
DEPOT-HH,LOT-032-C,BIN-0719,34,2025-07-24
DEPOT-HH,LOT-032-C,BIN-1338,8,2025-07-28
DEPOT-HH,LOT-034-A,BIN-1234,105,2025-07-29
DEPOT-HH,LOT-034-B,BIN-0700,11,2025-07-24
DEPOT-HH,LOT-034-B,BIN-0504,6,2025-07-16
DEPOT-HH,LOT-034-B,BIN-0105,6,2025-07-08
DEPOT-HH,LOT-034-C,BIN-0677,3,2025-07-07
DEPOT-HH,LOT-034-C,BIN-1044,12,2025-07-07
DEPOT-HH,LOT-034-C,BIN-0139,13,2025-07-03
DEPOT-HH,LOT-034-C,BIN-1775,7,2025-07-21
DEPOT-HH,LOT-034-C,BIN-1013,8,2025-07-28
DEPOT-HH,LOT-035-A,BIN-0895,18,2025-07-16
DEPOT-HH,LOT-035-A,BIN-0853,15,2025-07-20
DEPOT-HH,LOT-035-A,BIN-1469,5,2025-07-10
DEPOT-HH,LOT-035-A,BIN-0657,15,2025-08-01
DEPOT-HH,LOT-035-A,BIN-1720,5,2025-07-29
DEPOT-HH,LOT-035-B,BIN-1026,4,2025-07-24
DEPOT-HH,LOT-035-B,BIN-0851,5,2025-07-25
DEPOT-HH,LOT-035-B,BIN-0940,1,2025-07-28
DEPOT-HH,LOT-035-B,BIN-0339,5,2025-07-28
DEPOT-HH,LOT-035-C,BIN-0947,9,2025-07-23
DEPOT-HH,LOT-036-A,BIN-1671,13,2025-07-06
DEPOT-HH,LOT-036-A,BIN-1034,11,2025-07-24
DEPOT-HH,LOT-036-A,BIN-1594,9,2025-07-04
DEPOT-HH,LOT-036-A,BIN-0915,10,2025-07-27
DEPOT-HH,LOT-036-A,BIN-0718,6,2025-07-09
DEPOT-HH,LOT-036-A,BIN-1602,8,2025-07-03
DEPOT-HH,LOT-036-B,BIN-1260,5,2025-07-11
DEPOT-HH,LOT-036-B,BIN-1453,2,2025-07-17
DEPOT-HH,LOT-036-B,BIN-1510,3,2025-07-20
DEPOT-HH,LOT-036-B,BIN-0726,12,2025-07-31
DEPOT-HH,LOT-036-B,BIN-0885,4,2025-07-08
DEPOT-HH,LOT-036-C,BIN-0165,34,2025-07-20
DEPOT-HH,LOT-040-A,BIN-0404,44,2025-07-16
DEPOT-HH,LOT-040-A,BIN-0580,29,2025-07-29
DEPOT-HH,LOT-040-B,BIN-1105,5,2025-07-08
DEPOT-HH,LOT-040-B,BIN-0388,5,2025-07-05
DEPOT-HH,LOT-040-B,BIN-1585,4,2025-07-09
DEPOT-HH,LOT-040-B,BIN-1446,2,2025-07-05
DEPOT-HH,LOT-040-C,BIN-1418,6,2025-07-16
DEPOT-HH,LOT-040-C,BIN-1304,20,2025-07-25
DEPOT-HH,LOT-040-C,BIN-0594,1,2025-07-18
DEPOT-HH,LOT-040-C,BIN-0397,16,2025-07-21
DEPOT-HH,LOT-043-A,BIN-0594,18,2025-07-07
DEPOT-HH,LOT-043-A,BIN-1422,2,2025-07-29
DEPOT-HH,LOT-043-A,BIN-1177,16,2025-07-18
DEPOT-HH,LOT-043-A,BIN-0672,1,2025-07-17
DEPOT-HH,LOT-043-B,BIN-0577,14,2025-07-08
DEPOT-HH,LOT-043-B,BIN-1276,1,2025-08-01
DEPOT-HH,LOT-043-C,BIN-1051,1,2025-07-28
DEPOT-HH,LOT-043-C,BIN-0799,28,2025-07-07
DEPOT-HH,LOT-043-C,BIN-0791,11,2025-07-08
DEPOT-HH,LOT-045-A,BIN-0015,22,2025-07-25
DEPOT-HH,LOT-045-B,BIN-0059,4,2025-07-15
DEPOT-HH,LOT-045-B,BIN-0847,6,2025-07-03
DEPOT-HH,LOT-045-B,BIN-1848,5,2025-07-26
DEPOT-HH,LOT-045-B,BIN-1964,3,2025-07-14
DEPOT-HH,LOT-045-B,BIN-0655,1,2025-07-30
DEPOT-HH,LOT-045-C,BIN-0364,17,2025-07-09
DEPOT-HH,LOT-045-C,BIN-0257,23,2025-07-30
DEPOT-HH,LOT-045-C,BIN-1259,9,2025-07-12
DEPOT-HH,LOT-045-C,BIN-1702,7,2025-07-27
DEPOT-HH,LOT-045-C,BIN-1310,13,2025-07-27
DEPOT-HH,LOT-046-A,BIN-1102,52,2025-07-18
DEPOT-HH,LOT-046-A,BIN-0997,27,2025-07-05
DEPOT-HH,LOT-046-B,BIN-0424,7,2025-07-29
DEPOT-HH,LOT-046-B,BIN-0856,5,2025-07-22
DEPOT-HH,LOT-046-B,BIN-1945,4,2025-07-05
DEPOT-HH,LOT-046-B,BIN-0911,3,2025-07-24
DEPOT-HH,LOT-046-B,BIN-1843,4,2025-07-31
DEPOT-HH,LOT-046-B,BIN-1347,6,2025-07-19
DEPOT-HH,LOT-046-C,BIN-0512,9,2025-07-28
DEPOT-HH,LOT-046-C,BIN-0203,1,2025-07-04
DEPOT-HH,LOT-046-C,BIN-0951,1,2025-07-16
DEPOT-HH,LOT-046-C,BIN-1097,2,2025-07-06
DEPOT-HH,LOT-046-C,BIN-0873,8,2025-07-29
DEPOT-HH,LOT-046-C,BIN-1417,2,2025-07-06
DEPOT-HH,LOT-050-A,BIN-0342,43,2025-07-27
DEPOT-HH,LOT-050-A,BIN-1870,13,2025-07-04
DEPOT-HH,LOT-050-B,BIN-0751,10,2025-07-21
DEPOT-HH,LOT-050-B,BIN-0435,5,2025-07-06
DEPOT-HH,LOT-050-B,BIN-0136,2,2025-07-22
DEPOT-HH,LOT-050-B,BIN-0288,2,2025-07-19
DEPOT-HH,LOT-050-C,BIN-1582,30,2025-07-07
DEPOT-HH,LOT-051-A,BIN-0996,16,2025-07-26
DEPOT-HH,LOT-051-A,BIN-1824,15,2025-08-01
DEPOT-HH,LOT-051-A,BIN-0775,10,2025-07-30
DEPOT-HH,LOT-051-A,BIN-0075,1,2025-07-22
DEPOT-HH,LOT-051-A,BIN-0674,6,2025-07-06
DEPOT-HH,LOT-051-A,BIN-0614,7,2025-07-25
DEPOT-HH,LOT-051-B,BIN-0289,9,2025-07-25
DEPOT-HH,LOT-051-B,BIN-0608,11,2025-07-14
DEPOT-HH,LOT-051-C,BIN-1005,30,2025-07-19
DEPOT-HH,LOT-051-C,BIN-1341,21,2025-07-16
DEPOT-HH,LOT-053-A,BIN-0774,2,2025-07-24
DEPOT-HH,LOT-053-A,BIN-0578,11,2025-07-22
