gm_id,movement_type,lot_id,qty,ref_shipment_id,posting_dt
GM-IN-INB-00001,101,LOT-003-A,50,INB-00001,2025-05-28
GM-IN-INB-00001,101,LOT-003-A,50,INB-00001,2025-04-20
GM-IN-INB-00001,101,LOT-003-A,50,INB-00001,2025-04-15
GM-IN-INB-00002,101,LOT-003-A,47,INB-00002,2025-04-28
GM-IN-INB-00002,101,LOT-003-A,47,INB-00002,2025-05-17
GM-IN-INB-00002,101,LOT-003-A,47,INB-00002,2025-05-01
GM-IN-INB-00003,101,LOT-003-A,34,INB-00003,2025-05-15
GM-IN-INB-00003,101,LOT-003-A,34,INB-00003,2025-05-02
GM-IN-INB-00003,101,LOT-003-A,34,INB-00003,2025-04-23
GM-IN-INB-00004,101,LOT-003-B,24,INB-00004,2025-04-07
GM-IN-INB-00004,101,LOT-003-B,24,INB-00004,2025-05-16
GM-IN-INB-00004,101,LOT-003-B,24,INB-00004,2025-05-16
GM-IN-INB-00005,101,LOT-003-B,23,INB-00005,2025-04-06
GM-IN-INB-00005,101,LOT-003-B,23,INB-00005,2025-05-25
GM-IN-INB-00005,101,LOT-003-B,23,INB-00005,2025-05-13
GM-IN-INB-00006,101,LOT-003-B,20,INB-00006,2025-05-19
GM-IN-INB-00006,101,LOT-003-B,20,INB-00006,2025-04-12
GM-IN-INB-00006,101,LOT-003-B,20,INB-00006,2025-04-27
GM-IN-INB-00007,101,LOT-003-C,44,INB-00007,2025-05-30
GM-IN-INB-00007,101,LOT-003-C,44,INB-00007,2025-04-14
GM-IN-INB-00007,101,LOT-003-C,44,INB-00007,2025-05-20
GM-IN-INB-00008,101,LOT-003-C,43,INB-00008,2025-04-25
GM-IN-INB-00008,101,LOT-003-C,43,INB-00008,2025-04-28
GM-IN-INB-00008,101,LOT-003-C,43,INB-00008,2025-04-27
GM-IN-INB-00009,101,LOT-003-C,28,INB-00009,2025-04-17
GM-IN-INB-00009,101,LOT-003-C,28,INB-00009,2025-04-02
GM-IN-INB-00009,101,LOT-003-C,28,INB-00009,2025-04-10
GM-IN-INB-00010,101,LOT-009-A,66,INB-00010,2025-04-26
