shipment_id,site_id,lot_id,ndc,dispatch_dt,eta_dt,reason,decision,decision_dt
SHP-001-1,SITE-001,LOT-001-A,NDC-0006-5333-01,2025-07-06,2025-07-14,TempExcursion,Quarantine-Release Pending QA,2025-07-14
SHP-001-2,SITE-001,LOT-001-B,NDC-0006-5332-01,2025-08-18,2025-08-31,TempExcursion,Quarantine-Release Pending QA,2025-08-31
SHP-001-3,SITE-001,LOT-001-C,NDC-0006-5332-01,2025-09-30,2025-10-05,TempExcursion,Quarantine-Release Pending QA,2025-10-05
SHP-002-3,SITE-002,LOT-002-C,NDC-0006-5331-01,2025-08-26,2025-09-02,TempExcursion,Quarantine-Confirmed,2025-09-02
SHP-002-3,SITE-002,LOT-002-C,NDC-0006-5333-01,2025-09-22,2025-10-02,TempExcursion,Quarantine-Release Pending QA,2025-10-02
SHP-003-1,SITE-003,LOT-003-A,NDC-0006-5331-01,2025-07-18,2025-07-24,TempExcursion,Quarantine-Release Pending QA,2025-07-24
SHP-003-1,SITE-003,LOT-003-A,NDC-0006-5332-01,2025-07-20,2025-08-01,TempExcursion,Quarantine-Release Pending QA,2025-08-01
SHP-003-1,SITE-003,LOT-003-A,NDC-0006-5333-01,2025-07-14,2025-07-23,TempExcursion,Quarantine-Release Pending QA,2025-07-23
SHP-003-2,SITE-003,LOT-003-B,NDC-0006-5332-01,2025-07-30,2025-08-12,TempExcursion,Quarantine-Release Pending QA,2025-08-12
SHP-003-3,SITE-003,LOT-003-C,NDC-0006-5332-01,2025-09-29,2025-10-09,TempExcursion,Quarantine-Confirmed,2025-10-09
SHP-003-3,SITE-003,LOT-003-C,NDC-0006-5333-01,2025-10-01,2025-10-14,TempExcursion,Quarantine-Release Pending QA,2025-10-14
SHP-004-1,SITE-004,LOT-004-A,NDC-0006-5331-01,2025-07-12,2025-07-20,TempExcursion,Quarantine-Release Pending QA,2025-07-20
SHP-004-1,SITE-004,LOT-004-A,NDC-0006-5333-01,2025-07-24,2025-07-31,TempExcursion,Quarantine-Release Pending QA,2025-07-31
SHP-004-3,SITE-004,LOT-004-C,NDC-0006-5331-01,2025-09-16,2025-09-24,TempExcursion,Quarantine-Release Pending QA,2025-09-24
SHP-005-1,SITE-005,LOT-005-A,NDC-0006-5332-01,2025-08-01,2025-08-06,TempExcursion,Quarantine-Confirmed,2025-08-06
SHP-005-1,SITE-005,LOT-005-A,NDC-0006-5333-01,2025-07-27,2025-08-05,TempExcursion,Quarantine-Release Pending QA,2025-08-05
SHP-005-2,SITE-005,LOT-005-B,NDC-0006-5332-01,2025-08-17,2025-08-29,TempExcursion,Quarantine-Release Pending QA,2025-08-29
SHP-005-3,SITE-005,LOT-005-C,NDC-0006-5332-01,2025-09-27,2025-10-03,TempExcursion,Quarantine-Confirmed,2025-10-03
SHP-006-1,SITE-006,LOT-006-A,NDC-0006-5331-01,2025-08-04,2025-08-10,TempExcursion,Quarantine-Release Pending QA,2025-08-10
SHP-006-2,SITE-006,LOT-006-B,NDC-0006-5332-01,2025-08-20,2025-08-29,TempExcursion,Quarantine-Release Pending QA,2025-08-29
SHP-007-1,SITE-007,LOT-007-A,NDC-0006-5332-01,2025-07-18,2025-07-26,TempExcursion,Quarantine-Confirmed,2025-07-26
SHP-007-2,SITE-007,LOT-007-B,NDC-0006-5332-01,2025-08-16,2025-08-27,TempExcursion,Quarantine-Confirmed,2025-08-27
SHP-007-3,SITE-007,LOT-007-C,NDC-0006-5331-01,2025-10-05,2025-10-13,TempExcursion,Quarantine-Release Pending QA,2025-10-13
SHP-007-3,SITE-007,LOT-007-C,NDC-0006-5332-01,2025-09-24,2025-09-30,TempExcursion,Quarantine-Confirmed,2025-09-30
SHP-007-3,SITE-007,LOT-007-C,NDC-0006-5333-01,2025-08-24,2025-09-06,TempExcursion,Quarantine-Release Pending QA,2025-09-06
SHP-008-2,SITE-008,LOT-008-B,NDC-0006-5331-01,2025-07-29,2025-08-04,TempExcursion,Quarantine-Confirmed,2025-08-04
SHP-008-3,SITE-008,LOT-008-C,NDC-0006-5333-01,2025-09-10,2025-09-19,TempExcursion,Quarantine-Release Pending QA,2025-09-19
SHP-009-1,SITE-009,LOT-009-A,NDC-0006-5331-01,2025-07-15,2025-07-27,TempExcursion,Quarantine-Release Pending QA,2025-07-27
SHP-009-1,SITE-009,LOT-009-A,NDC-0006-5332-01,2025-07-05,2025-07-14,TempExcursion,Quarantine-Confirmed,2025-07-14
SHP-009-1,SITE-009,LOT-009-A,NDC-0006-5333-01,2025-07-05,2025-07-18,TempExcursion,Quarantine-Release Pending QA,2025-07-18
SHP-009-2,SITE-009,LOT-009-B,NDC-0006-5331-01,2025-07-19,2025-07-24,TempExcursion,Quarantine-Release Pending QA,2025-07-24
SHP-009-2,SITE-009,LOT-009-B,NDC-0006-5333-01,2025-07-31,2025-08-07,TempExcursion,Quarantine-Confirmed,2025-08-07
SHP-009-3,SITE-009,LOT-009-C,NDC-0006-5331-01,2025-09-24,2025-10-05,TempExcursion,Quarantine-Release Pending QA,2025-10-05
SHP-009-3,SITE-009,LOT-009-C,NDC-0006-5332-01,2025-09-13,2025-09-19,TempExcursion,Quarantine-Confirmed,2025-09-19
SHP-009-3,SITE-009,LOT-009-C,NDC-0006-5333-01,2025-10-07,2025-10-12,TempExcursion,Quarantine-Release Pending QA,2025-10-12
SHP-010-1,SITE-010,LOT-010-A,NDC-0006-5331-01,2025-07-15,2025-07-23,TempExcursion,Quarantine-Release Pending QA,2025-07-23
SHP-010-1,SITE-010,LOT-010-A,NDC-0006-5332-01,2025-07-18,2025-07-27,TempExcursion,Quarantine-Release Pending QA,2025-07-27
SHP-010-1,SITE-010,LOT-010-A,NDC-0006-5333-01,2025-08-01,2025-08-06,TempExcursion,Quarantine-Release Pending QA,2025-08-06
SHP-010-2,SITE-010,LOT-010-B,NDC-0006-5333-01,2025-08-17,2025-08-27,TempExcursion,Quarantine-Confirmed,2025-08-27
SHP-010-3,SITE-010,LOT-010-C,NDC-0006-5331-01,2025-10-05,2025-10-10,TempExcursion,Quarantine-Release Pending QA,2025-10-10
SHP-010-3,SITE-010,LOT-010-C,NDC-0006-5333-01,2025-10-07,2025-10-20,TempExcursion,Quarantine-Release Pending QA,2025-10-20
SHP-011-2,SITE-011,LOT-011-B,NDC-0006-5331-01,2025-07-28,2025-08-04,TempExcursion,Quarantine-Release Pending QA,2025-08-04
SHP-011-2,SITE-011,LOT-011-B,NDC-0006-5333-01,2025-07-25,2025-08-03,TempExcursion,Quarantine-Release Pending QA,2025-08-03
SHP-012-2,SITE-012,LOT-012-B,NDC-0006-5331-01,2025-08-02,2025-08-09,TempExcursion,Quarantine-Confirmed,2025-08-09
