shipment_id,lot_id,ndc,qty,line_no
INB-00001,LOT-003-A,NDC-0006-5331-01,50,1
INB-00001,LOT-003-A,NDC-0006-5331-01,50,1
INB-00001,LOT-003-A,NDC-0006-5331-01,50,1
INB-00002,LOT-003-A,NDC-0006-5332-01,47,1
INB-00002,LOT-003-A,NDC-0006-5332-01,47,1
INB-00002,LOT-003-A,NDC-0006-5332-01,47,1
INB-00003,LOT-003-A,NDC-0006-5333-01,34,1
INB-00003,LOT-003-A,NDC-0006-5333-01,34,1
INB-00003,LOT-003-A,NDC-0006-5333-01,34,1
INB-00004,LOT-003-B,NDC-0006-5331-01,24,1
INB-00004,LOT-003-B,NDC-0006-5331-01,24,1
INB-00004,LOT-003-B,NDC-0006-5331-01,24,1
INB-00005,LOT-003-B,NDC-0006-5332-01,23,1
INB-00005,LOT-003-B,NDC-0006-5332-01,23,1
INB-00005,LOT-003-B,NDC-0006-5332-01,23,1
INB-00006,LOT-003-B,NDC-0006-5333-01,20,1
INB-00006,LOT-003-B,NDC-0006-5333-01,20,1
INB-00006,LOT-003-B,NDC-0006-5333-01,20,1
INB-00007,LOT-003-C,NDC-0006-5331-01,44,1
INB-00007,LOT-003-C,NDC-0006-5331-01,44,1
INB-00007,LOT-003-C,NDC-0006-5331-01,44,1
INB-00008,LOT-003-C,NDC-0006-5332-01,43,1
INB-00008,LOT-003-C,NDC-0006-5332-01,43,1
INB-00008,LOT-003-C,NDC-0006-5332-01,43,1
INB-00009,LOT-003-C,NDC-0006-5333-01,28,1
INB-00009,LOT-003-C,NDC-0006-5333-01,28,1
INB-00009,LOT-003-C,NDC-0006-5333-01,28,1
INB-00010,LOT-009-A,NDC-0006-5331-01,66,1
INB-00010,LOT-009-A,NDC-0006-5331-01,66,1
INB-00010,LOT-009-A,NDC-0006-5331-01,66,1
INB-00011,LOT-009-A,NDC-0006-5332-01,33,1
INB-00011,LOT-009-A,NDC-0006-5332-01,33,1
INB-00011,LOT-009-A,NDC-0006-5332-01,33,1
INB-00012,LOT-009-A,NDC-0006-5333-01,41,1
INB-00012,LOT-009-A,NDC-0006-5333-01,41,1
INB-00012,LOT-009-A,NDC-0006-5333-01,41,1
INB-00013,LOT-009-B,NDC-0006-5331-01,15,1
INB-00013,LOT-009-B,NDC-0006-5331-01,15,1
INB-00013,LOT-009-B,NDC-0006-5331-01,15,1
INB-00014,LOT-009-B,NDC-0006-5332-01,27,1
INB-00014,LOT-009-B,NDC-0006-5332-01,27,1
INB-00014,LOT-009-B,NDC-0006-5332-01,27,1
INB-00015,LOT-009-B,NDC-0006-5333-01,16,1
INB-00015,LOT-009-B,NDC-0006-5333-01,16,1
INB-00015,LOT-009-B,NDC-0006-5333-01,16,1
INB-00016,LOT-009-C,NDC-0006-5331-01,49,1
INB-00016,LOT-009-C,NDC-0006-5331-01,49,1
INB-00016,LOT-009-C,NDC-0006-5331-01,49,1
INB-00017,LOT-009-C,NDC-0006-5332-01,39,1
INB-00017,LOT-009-C,NDC-0006-5332-01,39,1
INB-00017,LOT-009-C,NDC-0006-5332-01,39,1
INB-00018,LOT-009-C,NDC-0006-5333-01,32,1
INB-00018,LOT-009-C,NDC-0006-5333-01,32,1
INB-00018,LOT-009-C,NDC-0006-5333-01,32,1
INB-00019,LOT-013-A,NDC-0006-5331-01,38,1
INB-00019,LOT-013-A,NDC-0006-5331-01,38,1
INB-00019,LOT-013-A,NDC-0006-5331-01,38,1
INB-00020,LOT-013-A,NDC-0006-5332-01,43,1
INB-00020,LOT-013-A,NDC-0006-5332-01,43,1
INB-00020,LOT-013-A,NDC-0006-5332-01,43,1
INB-00021,LOT-013-A,NDC-0006-5333-01,47,1
INB-00021,LOT-013-A,NDC-0006-5333-01,47,1
INB-00021,LOT-013-A,NDC-0006-5333-01,47,1
INB-00022,LOT-013-B,NDC-0006-5331-01,22,1
INB-00022,LOT-013-B,NDC-0006-5331-01,22,1
INB-00022,LOT-013-B,NDC-0006-5331-01,22,1
INB-00023,LOT-013-B,NDC-0006-5332-01,19,1
INB-00023,LOT-013-B,NDC-0006-5332-01,19,1
INB-00023,LOT-013-B,NDC-0006-5332-01,19,1
INB-00024,LOT-013-B,NDC-0006-5333-01,17,1
INB-00024,LOT-013-B,NDC-0006-5333-01,17,1
INB-00024,LOT-013-B,NDC-0006-5333-01,17,1
INB-00025,LOT-013-C,NDC-0006-5331-01,28,1
INB-00025,LOT-013-C,NDC-0006-5331-01,28,1
INB-00025,LOT-013-C,NDC-0006-5331-01,28,1
INB-00026,LOT-013-C,NDC-0006-5332-01,25,1
INB-00026,LOT-013-C,NDC-0006-5332-01,25,1
INB-00026,LOT-013-C,NDC-0006-5332-01,25,1
INB-00027,LOT-013-C,NDC-0006-5333-01,55,1
INB-00027,LOT-013-C,NDC-0006-5333-01,55,1
INB-00027,LOT-013-C,NDC-0006-5333-01,55,1
INB-00028,LOT-031-A,NDC-0006-5331-01,53,1
INB-00028,LOT-031-A,NDC-0006-5331-01,53,1
INB-00028,LOT-031-A,NDC-0006-5331-01,53,1
INB-00029,LOT-031-A,NDC-0006-5332-01,37,1
INB-00029,LOT-031-A,NDC-0006-5332-01,37,1
INB-00029,LOT-031-A,NDC-0006-5332-01,37,1
INB-00030,LOT-031-A,NDC-0006-5333-01,45,1
INB-00030,LOT-031-A,NDC-0006-5333-01,45,1
INB-00030,LOT-031-A,NDC-0006-5333-01,45,1
INB-00031,LOT-031-B,NDC-0006-5331-01,23,1
INB-00031,LOT-031-B,NDC-0006-5331-01,23,1
INB-00031,LOT-031-B,NDC-0006-5331-01,23,1
INB-00032,LOT-031-B,NDC-0006-5332-01,14,1
INB-00032,LOT-031-B,NDC-0006-5332-01,14,1
INB-00032,LOT-031-B,NDC-0006-5332-01,14,1
INB-00033,LOT-031-B,NDC-0006-5333-01,26,1
INB-00033,LOT-031-B,NDC-0006-5333-01,26,1
INB-00033,LOT-031-B,NDC-0006-5333-01,26,1
INB-00034,LOT-031-C,NDC-0006-5331-01,37,1
INB-00034,LOT-031-C,NDC-0006-5331-01,37,1
INB-00034,LOT-031-C,NDC-0006-5331-01,37,1
INB-00035,LOT-031-C,NDC-0006-5332-01,31,1
INB-00035,LOT-031-C,NDC-0006-5332-01,31,1
INB-00035,LOT-031-C,NDC-0006-5332-01,31,1
INB-00036,LOT-031-C,NDC-0006-5333-01,41,1
INB-00036,LOT-031-C,NDC-0006-5333-01,41,1
INB-00036,LOT-031-C,NDC-0006-5333-01,41,1
INB-00037,LOT-037-A,NDC-0006-5331-01,36,1
INB-00037,LOT-037-A,NDC-0006-5331-01,36,1
INB-00037,LOT-037-A,NDC-0006-5331-01,36,1
INB-00038,LOT-037-A,NDC-0006-5332-01,49,1
INB-00038,LOT-037-A,NDC-0006-5332-01,49,1
INB-00038,LOT-037-A,NDC-0006-5332-01,49,1
INB-00039,LOT-037-A,NDC-0006-5333-01,53,1
INB-00039,LOT-037-A,NDC-0006-5333-01,53,1
INB-00039,LOT-037-A,NDC-0006-5333-01,53,1
INB-00040,LOT-037-B,NDC-0006-5331-01,19,1
INB-00040,LOT-037-B,NDC-0006-5331-01,19,1
INB-00040,LOT-037-B,NDC-0006-5331-01,19,1
INB-00041,LOT-037-B,NDC-0006-5332-01,19,1
INB-00041,LOT-037-B,NDC-0006-5332-01,19,1
INB-00041,LOT-037-B,NDC-0006-5332-01,19,1
INB-00042,LOT-037-B,NDC-0006-5333-01,25,1
INB-00042,LOT-037-B,NDC-0006-5333-01,25,1
INB-00042,LOT-037-B,NDC-0006-5333-01,25,1
INB-00043,LOT-037-C,NDC-0006-5331-01,52,1
INB-00043,LOT-037-C,NDC-0006-5331-01,52,1
INB-00043,LOT-037-C,NDC-0006-5331-01,52,1
INB-00044,LOT-037-C,NDC-0006-5332-01,51,1
INB-00044,LOT-037-C,NDC-0006-5332-01,51,1
INB-00044,LOT-037-C,NDC-0006-5332-01,51,1
INB-00045,LOT-037-C,NDC-0006-5333-01,29,1
INB-00045,LOT-037-C,NDC-0006-5333-01,29,1
INB-00045,LOT-037-C,NDC-0006-5333-01,29,1
INB-00046,LOT-001-A,NDC-0006-5331-01,35,1
INB-00046,LOT-001-A,NDC-0006-5331-01,35,1
INB-00046,LOT-001-A,NDC-0006-5331-01,35,1
INB-00047,LOT-001-A,NDC-0006-5332-01,55,1
INB-00047,LOT-001-A,NDC-0006-5332-01,55,1
INB-00047,LOT-001-A,NDC-0006-5332-01,55,1
INB-00048,LOT-001-A,NDC-0006-5333-01,52,1
INB-00048,LOT-001-A,NDC-0006-5333-01,52,1
INB-00048,LOT-001-A,NDC-0006-5333-01,52,1
INB-00049,LOT-001-B,NDC-0006-5331-01,16,1
INB-00049,LOT-001-B,NDC-0006-5331-01,16,1
INB-00049,LOT-001-B,NDC-0006-5331-01,16,1
INB-00050,LOT-001-B,NDC-0006-5332-01,26,1
INB-00050,LOT-001-B,NDC-0006-5332-01,26,1
INB-00050,LOT-001-B,NDC-0006-5332-01,26,1
INB-00051,LOT-001-B,NDC-0006-5333-01,17,1
INB-00051,LOT-001-B,NDC-0006-5333-01,17,1
INB-00051,LOT-001-B,NDC-0006-5333-01,17,1
INB-00052,LOT-001-C,NDC-0006-5331-01,40,1
INB-00052,LOT-001-C,NDC-0006-5331-01,40,1
INB-00052,LOT-001-C,NDC-0006-5331-01,40,1
INB-00053,LOT-001-C,NDC-0006-5332-01,47,1
INB-00053,LOT-001-C,NDC-0006-5332-01,47,1
INB-00053,LOT-001-C,NDC-0006-5332-01,47,1
INB-00054,LOT-001-C,NDC-0006-5333-01,28,1
INB-00054,LOT-001-C,NDC-0006-5333-01,28,1
INB-00054,LOT-001-C,NDC-0006-5333-01,28,1
INB-00055,LOT-002-A,NDC-0006-5331-01,52,1
INB-00055,LOT-002-A,NDC-0006-5331-01,52,1
INB-00055,LOT-002-A,NDC-0006-5331-01,52,1
INB-00056,LOT-002-A,NDC-0006-5332-01,39,1
INB-00056,LOT-002-A,NDC-0006-5332-01,39,1
INB-00056,LOT-002-A,NDC-0006-5332-01,39,1
INB-00057,LOT-002-A,NDC-0006-5333-01,38,1
INB-00057,LOT-002-A,NDC-0006-5333-01,38,1
INB-00057,LOT-002-A,NDC-0006-5333-01,38,1
INB-00058,LOT-002-B,NDC-0006-5331-01,22,1
INB-00058,LOT-002-B,NDC-0006-5331-01,22,1
INB-00058,LOT-002-B,NDC-0006-5331-01,22,1
INB-00059,LOT-002-B,NDC-0006-5332-01,20,1
INB-00059,LOT-002-B,NDC-0006-5332-01,20,1
INB-00059,LOT-002-B,NDC-0006-5332-01,20,1
INB-00060,LOT-002-B,NDC-0006-5333-01,16,1
INB-00060,LOT-002-B,NDC-0006-5333-01,16,1
INB-00060,LOT-002-B,NDC-0006-5333-01,16,1
INB-00061,LOT-002-C,NDC-0006-5331-01,49,1
INB-00061,LOT-002-C,NDC-0006-5331-01,49,1
INB-00061,LOT-002-C,NDC-0006-5331-01,49,1
INB-00062,LOT-002-C,NDC-0006-5332-01,37,1
INB-00062,LOT-002-C,NDC-0006-5332-01,37,1
