shipment_id,lot_id,ndc,qty,line_no
SHP-001-1,LOT-001-A,NDC-0006-5331-01,23,1
SHP-001-1,LOT-001-A,NDC-0006-5332-01,37,2
SHP-001-1,LOT-001-A,NDC-0006-5333-01,37,3
SHP-001-2,LOT-001-B,NDC-0006-5331-01,13,1
SHP-001-2,LOT-001-B,NDC-0006-5332-01,17,2
SHP-001-2,LOT-001-B,NDC-0006-5333-01,13,3
SHP-001-3,LOT-001-C,NDC-0006-5331-01,28,1
SHP-001-3,LOT-001-C,NDC-0006-5332-01,31,2
SHP-001-3,LOT-001-C,NDC-0006-5333-01,19,3
SHP-002-1,LOT-002-A,NDC-0006-5331-01,39,1
SHP-002-1,LOT-002-A,NDC-0006-5332-01,30,2
SHP-002-1,LOT-002-A,NDC-0006-5333-01,31,3
SHP-002-2,LOT-002-B,NDC-0006-5331-01,16,1
SHP-002-2,LOT-002-B,NDC-0006-5332-01,16,2
SHP-002-2,LOT-002-B,NDC-0006-5333-01,12,3
SHP-002-3,LOT-002-C,NDC-0006-5331-01,32,1
SHP-002-3,LOT-002-C,NDC-0006-5332-01,25,2
SHP-002-3,LOT-002-C,NDC-0006-5333-01,31,3
SHP-003-1,LOT-003-A,NDC-0006-5331-01,34,1
SHP-003-1,LOT-003-A,NDC-0006-5332-01,35,2
SHP-003-1,LOT-003-A,NDC-0006-5333-01,22,3
SHP-003-2,LOT-003-B,NDC-0006-5331-01,18,1
SHP-003-2,LOT-003-B,NDC-0006-5332-01,14,2
SHP-003-2,LOT-003-B,NDC-0006-5333-01,13,3
SHP-003-3,LOT-003-C,NDC-0006-5331-01,30,1
SHP-003-3,LOT-003-C,NDC-0006-5332-01,28,2
SHP-003-3,LOT-003-C,NDC-0006-5333-01,22,3
SHP-004-1,LOT-004-A,NDC-0006-5331-01,33,1
SHP-004-1,LOT-004-A,NDC-0006-5332-01,35,2
SHP-004-1,LOT-004-A,NDC-0006-5333-01,27,3
SHP-004-2,LOT-004-B,NDC-0006-5331-01,14,1
SHP-004-2,LOT-004-B,NDC-0006-5332-01,18,2
SHP-004-2,LOT-004-B,NDC-0006-5333-01,12,3
SHP-004-3,LOT-004-C,NDC-0006-5331-01,30,1
SHP-004-3,LOT-004-C,NDC-0006-5332-01,25,2
SHP-004-3,LOT-004-C,NDC-0006-5333-01,32,3
SHP-005-1,LOT-005-A,NDC-0006-5331-01,22,1
SHP-005-1,LOT-005-A,NDC-0006-5332-01,41,2
SHP-005-1,LOT-005-A,NDC-0006-5333-01,31,3
SHP-005-2,LOT-005-B,NDC-0006-5331-01,11,1
SHP-005-2,LOT-005-B,NDC-0006-5332-01,16,2
SHP-005-2,LOT-005-B,NDC-0006-5333-01,15,3
SHP-005-3,LOT-005-C,NDC-0006-5331-01,27,1
SHP-005-3,LOT-005-C,NDC-0006-5332-01,26,2
SHP-005-3,LOT-005-C,NDC-0006-5333-01,28,3
SHP-006-1,LOT-006-A,NDC-0006-5331-01,29,1
SHP-006-1,LOT-006-A,NDC-0006-5332-01,40,2
SHP-006-1,LOT-006-A,NDC-0006-5333-01,27,3
SHP-006-2,LOT-006-B,NDC-0006-5331-01,12,1
SHP-006-2,LOT-006-B,NDC-0006-5332-01,21,2
SHP-006-2,LOT-006-B,NDC-0006-5333-01,11,3
SHP-006-3,LOT-006-C,NDC-0006-5331-01,24,1
SHP-006-3,LOT-006-C,NDC-0006-5332-01,21,2
SHP-006-3,LOT-006-C,NDC-0006-5333-01,36,3
SHP-007-1,LOT-007-A,NDC-0006-5331-01,35,1
SHP-007-1,LOT-007-A,NDC-0006-5332-01,30,2
SHP-007-1,LOT-007-A,NDC-0006-5333-01,26,3
SHP-007-2,LOT-007-B,NDC-0006-5331-01,15,1
SHP-007-2,LOT-007-B,NDC-0006-5332-01,15,2
SHP-007-2,LOT-007-B,NDC-0006-5333-01,13,3
SHP-007-3,LOT-007-C,NDC-0006-5331-01,32,1
SHP-007-3,LOT-007-C,NDC-0006-5332-01,23,2
SHP-007-3,LOT-007-C,NDC-0006-5333-01,24,3
SHP-008-1,LOT-008-A,NDC-0006-5331-01,27,1
SHP-008-1,LOT-008-A,NDC-0006-5332-01,36,2
SHP-008-1,LOT-008-A,NDC-0006-5333-01,27,3
SHP-008-2,LOT-008-B,NDC-0006-5331-01,11,1
SHP-008-2,LOT-008-B,NDC-0006-5332-01,15,2
SHP-008-2,LOT-008-B,NDC-0006-5333-01,14,3
SHP-008-3,LOT-008-C,NDC-0006-5331-01,26,1
SHP-008-3,LOT-008-C,NDC-0006-5332-01,26,2
SHP-008-3,LOT-008-C,NDC-0006-5333-01,26,3
SHP-009-1,LOT-009-A,NDC-0006-5331-01,45,1
SHP-009-1,LOT-009-A,NDC-0006-5332-01,21,2
SHP-009-1,LOT-009-A,NDC-0006-5333-01,26,3
SHP-009-2,LOT-009-B,NDC-0006-5331-01,12,1
SHP-009-2,LOT-009-B,NDC-0006-5332-01,18,2
SHP-009-2,LOT-009-B,NDC-0006-5333-01,12,3
SHP-009-3,LOT-009-C,NDC-0006-5331-01,33,1
SHP-009-3,LOT-009-C,NDC-0006-5332-01,24,2
SHP-009-3,LOT-009-C,NDC-0006-5333-01,25,3
SHP-010-1,LOT-010-A,NDC-0006-5331-01,34,1
SHP-010-1,LOT-010-A,NDC-0006-5332-01,35,2
SHP-010-1,LOT-010-A,NDC-0006-5333-01,27,3
SHP-010-2,LOT-010-B,NDC-0006-5331-01,8,1
SHP-010-2,LOT-010-B,NDC-0006-5332-01,15,2
SHP-010-2,LOT-010-B,NDC-0006-5333-01,16,3
SHP-010-3,LOT-010-C,NDC-0006-5331-01,20,1
