shipment_id,direction,origin_type,origin_id,dest_type,dest_id,status,dispatch_dt,eta_dt,depot_id,site_id
INB-00001,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-28,2025-06-13,,
INB-00001,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-03,2025-06-20,,
INB-00001,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-08,2025-06-17,,
INB-00002,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-22,2025-07-01,,
INB-00002,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-16,2025-06-27,,
INB-00002,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-29,2025-06-11,,
INB-00003,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-25,2025-06-08,,
INB-00003,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-13,2025-06-27,,
INB-00003,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-26,2025-06-15,,
INB-00004,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-24,2025-07-13,,
INB-00004,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-05,2025-07-15,,
INB-00004,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-16,2025-06-26,,
INB-00005,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-25,2025-07-13,,
INB-00005,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-19,2025-06-30,,
INB-00005,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-04,2025-06-22,,
INB-00006,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-13,2025-07-02,,
INB-00006,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-06,2025-06-15,,
INB-00006,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-13,2025-06-28,,
INB-00007,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-24,2025-08-13,,
INB-00007,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-22,2025-09-02,,
INB-00007,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-18,2025-09-03,,
INB-00008,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-30,2025-08-12,,
INB-00008,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-09-03,2025-09-18,,
INB-00008,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-01,2025-09-18,,
INB-00009,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-15,2025-09-04,,
INB-00009,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-09,2025-08-25,,
INB-00009,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-21,2025-09-01,,
INB-00010,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-26,2025-06-13,,
INB-00010,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-23,2025-06-06,,
INB-00010,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-23,2025-06-01,,
INB-00011,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-18,2025-07-02,,
INB-00011,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-15,2025-05-31,,
INB-00011,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-09,2025-05-19,,
INB-00012,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-05-27,2025-06-10,,
INB-00012,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-15,2025-05-29,,
INB-00012,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-15,2025-07-02,,
INB-00013,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-26,2025-07-10,,
INB-00013,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-14,2025-06-29,,
INB-00013,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-06,2025-07-14,,
INB-00014,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-19,2025-07-06,,
INB-00014,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-12,2025-07-21,,
INB-00014,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-06,2025-06-18,,
INB-00015,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-09,2025-06-20,,
INB-00015,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-07,2025-07-15,,
INB-00015,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-06,2025-06-21,,
INB-00016,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-03,2025-08-12,,
INB-00016,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-18,2025-08-29,,
INB-00016,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-06,2025-09-23,,
INB-00017,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-21,2025-09-09,,
INB-00017,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-11,2025-08-23,,
INB-00017,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-10,2025-08-29,,
INB-00018,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-19,2025-09-01,,
INB-00018,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-21,2025-08-04,,
INB-00018,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-09,2025-09-23,,
INB-00019,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-06,2025-06-21,,
INB-00019,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-18,2025-07-05,,
